State,Municipality,Date,Deaths,Confirmed,Recovered,Active
Aguascalientes,AGUASCALIENTES,2020-03-07,0,1,1,0
Aguascalientes,AGUASCALIENTES,2020-03-10,0,1,1,0
Aguascalientes,AGUASCALIENTES,2020-03-12,0,1,1,0
Aguascalientes,AGUASCALIENTES,2020-03-14,0,1,1,0
Aguascalientes,AGUASCALIENTES,2020-03-16,0,2,2,0
Aguascalientes,AGUASCALIENTES,2020-03-17,0,2,2,0
Aguascalientes,AGUASCALIENTES,2020-03-18,0,4,4,0
Aguascalientes,AGUASCALIENTES,2020-03-19,0,2,2,0
Aguascalientes,AGUASCALIENTES,2020-03-20,0,2,2,0
Aguascalientes,AGUASCALIENTES,2020-03-22,0,5,5,0
Aguascalientes,AGUASCALIENTES,2020-03-23,0,7,7,0
Aguascalientes,AGUASCALIENTES,2020-03-24,0,5,5,0
Aguascalientes,AGUASCALIENTES,2020-03-25,0,4,4,0
Aguascalientes,AGUASCALIENTES,2020-03-26,0,3,3,0
Aguascalientes,AGUASCALIENTES,2020-03-27,1,4,3,0
Aguascalientes,AGUASCALIENTES,2020-03-28,0,1,1,0
Aguascalientes,AGUASCALIENTES,2020-03-29,0,2,2,0
Aguascalientes,AGUASCALIENTES,2020-03-30,0,3,3,0
Aguascalientes,AGUASCALIENTES,2020-04-02,0,2,2,0
Aguascalientes,AGUASCALIENTES,2020-04-03,1,1,0,0
Aguascalientes,AGUASCALIENTES,2020-04-05,1,2,1,0
Aguascalientes,AGUASCALIENTES,2020-04-06,0,4,4,0
Aguascalientes,AGUASCALIENTES,2020-04-07,0,1,1,0
Aguascalientes,AGUASCALIENTES,2020-04-08,1,2,1,0
Aguascalientes,AGUASCALIENTES,2020-04-09,0,3,3,0
Aguascalientes,AGUASCALIENTES,2020-04-10,0,4,4,0
Aguascalientes,AGUASCALIENTES,2020-04-11,1,6,5,0
Aguascalientes,AGUASCALIENTES,2020-04-12,0,4,4,0
Aguascalientes,AGUASCALIENTES,2020-04-13,0,6,6,0
Aguascalientes,AGUASCALIENTES,2020-04-14,0,9,9,0
Aguascalientes,AGUASCALIENTES,2020-04-15,3,9,6,0
Aguascalientes,AGUASCALIENTES,2020-04-16,1,9,8,0
Aguascalientes,AGUASCALIENTES,2020-04-17,0,10,10,0
Aguascalientes,AGUASCALIENTES,2020-04-18,2,15,13,0
Aguascalientes,AGUASCALIENTES,2020-04-19,0,6,6,0
Aguascalientes,AGUASCALIENTES,2020-04-20,1,15,14,0
Aguascalientes,AGUASCALIENTES,2020-04-21,0,4,4,0
Aguascalientes,AGUASCALIENTES,2020-04-22,0,5,5,0
Aguascalientes,AGUASCALIENTES,2020-04-23,0,12,12,0
Aguascalientes,AGUASCALIENTES,2020-04-24,0,12,12,0
Aguascalientes,AGUASCALIENTES,2020-04-25,1,10,9,0
Aguascalientes,AGUASCALIENTES,2020-04-26,1,11,10,0
Aguascalientes,AGUASCALIENTES,2020-04-27,1,27,26,0
Aguascalientes,AGUASCALIENTES,2020-04-28,2,10,8,0
Aguascalientes,AGUASCALIENTES,2020-04-29,0,14,14,0
